,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state
289,401 W Kenyon Rd,tsXCDIijxbgsh980VgRc9g,Champaign,40.1339194,-88.2486281,Federal Companies,61820,11,3.0,IL
330,300 Carriage Center Ct,fsklFcY47qJIr0mjgobuUg,Champaign,40.090444,-88.24743,Ford City,61820,3,2.5,IL
356,713 W Marketview Dr,mofOjB6flg-eAWOFbOkHfQ,Champaign,40.13727,-88.2560426,ChinaTown Buffet,61822,72,2.5,IL
361,2000 N Neil St,P4HqDYI1icascvcwca7iLg,Champaign,40.141029,-88.244222,Macy's,61820,12,2.5,IL
368,723 S Neil St,eezVjNlzIZrXs9GM5O8b2w,Champaign,40.1071261,-88.243912,Vape Vault,61820,5,4.0,IL
431,1703 Philo Rd,m4DwPVxmFDQE_FnGIOa3cQ,Urbana,40.0976392,-88.1912166,Sunny China Buffet,61802,15,3.5,IL
568,406 E Green St,mlm2_qc912RAssglxB8h7Q,Champaign,40.1104486,-88.2329057,Bankier Apartments,61820,19,2.5,IL
595,1038 State Rt 11,Ya-HZZrzMWYSBtGyLajDQg,Champlain,44.9811404098,-73.458718434,Nathan's Famous,12919,4,4.0,NY
919,106 S Country Fair Dr,DrTZoBYke80zH1herrG0_g,Champaign,40.1156049,-88.2808633,Elite Entertainment,61821,3,3.5,IL
1028,45 E University Ave,jDr5r48ZkLqvTPLzs5rWLw,Champaign,40.11579,-88.2412001,CityView,61820,3,3.5,IL
1056,207 W Clark St,HbK6IfznbVToEaKVC0WcSg,Champaign,40.1150169,-88.2461558,The Clark Bar,61820,24,3.5,IL
1123,824 Pioneer St,JCunPD7s6TWHp7e9n-IZew,Champaign,40.1295814514,-88.2556395239,Roto-Rooter Plumbing & Drain Services,61820,7,2.5,IL
1177,2110 Round Barn Rd,D88CTD2UrsSTsrDDuL04_A,Champaign,40.1117131,-88.281506,Jerry's Iga,61821,5,4.0,IL
1224,421 Town Center Rd,o9nGD3J0btXjE9M6IdgZTA,Champaign,40.14166846,-88.2503601437,McAlister's Deli,61820,50,3.0,IL
1427,"410 E Green St, Ste 2",g8buMX3iAiUssorC4VM0sw,Champaign,40.1105755808,-88.2324540852,Top Hair Salon,61820,4,4.0,IL
1631,303 S 5th St,VWN70F_wFlsLDsOa0fVSoQ,Champaign,40.114021,-88.2323321,MHM Properties,61820,6,1.5,IL
1899,720 S Neil St,N5Kcf0cdnL9GYLSYZrnTVw,Champaign,40.1074475,-88.2431823,Michaels' Catering,61820,3,3.5,IL
1914,1103 Klein Ave,sDfN5qJlmvrwTfwEPBsxSg,Rantoul,40.3112989,-88.1428825,Dairy Queen,61866,4,2.0,IL
