id,dateAdded,dateUpdated,address,categories,primaryCategories,city,claimed,country,cuisines,descriptions.dateSeen,descriptions.sourceURLs,descriptions.value,facebookPageURL,features.key,features.value,hours.day,hours.dept,hours.hour,imageURLs,isClosed,keys,languagesSpoken,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.category,menus.currency,menus.dateSeen,menus.description,menus.name,menus.sourceURLs,name,paymentTypes,phones,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province,sic,sourceURLs,twitter,websites,yearOpened
AVwd3yXEkufWRAb59-sH,2016-04-22T02:47:48Z,2018-09-10T21:00:49Z,1045 San Pablo Ave,"Restaurant,Asian/Pacific,Cafe,Vegetarian / Vegan Restaurant,Vegetarian,Vegetarian Vegan Restaurant,Caf,Thai",Accommodation & Food Services,Albany,,US,"Thai,Asian/Pacific,Vegetarian",,,,,,,,,,"https://igx.4sqi.net/img/general/600x600/o_h1iXEgeP_8pJtqA8Z5XbbRQkx6LusDybTxf3r670U.jpg,https://igx.4sqi.net/img/general/600x600/1496961_8RtU5AUeCIYuD8IMbGYnd0PuBCkdJqek04rqA8KCRB8.jpg,https://igx.4sqi.net/img/general/600x600/5268264_u2bT2sMje6ipCNIpBS_RJVtPR4qpMoGrZVixa3CWlSY.jpg,https://igx.4sqi.net/img/general/600x600/18460649_UFC4FpgeegKT4TIRaMNYDIZlulYJA9k_E2XrC-FJOdw.jpg,https://cdn2.gbot.me/photos/F1/tu/1433898246/-_Potala_Organic_Cafe_in_P-20000000009104485-500x375.jpg,https://igx.4sqi.net/img/general/600x600/132424239_Cdixp12uKuPYrjPqI3bMcRl44dLDVRALbabPvD-4le0.jpg,https://igx.4sqi.net/img/general/600x600/3778886_Z1Yg0aYLuwL9Ez4ARFSTmHZmppQx23NduBl_qaNtqMY.jpg,https://igx.4sqi.net/img/general/600x600/48894779_4n4cTzK5w2O3sumdbDjfvb4PHb023k1ILTNDr5JoDmQ.jpg,https://igx.4sqi.net/img/general/600x600/275848_-2J1kmwoLN0MbKbBVFEBx7OtYI2isMSe191J_OP9zsc.jpg,https://igx.4sqi.net/img/general/600x600/119995428_sKcigHVtMe69wAPhuIWmixvw9J6txtNOnxulHtdBW6w.jpg,https://igx.4sqi.net/img/general/600x600/58WbgZJxScAJrxecUvCxTAaB-DdI471mjMzKEBurJuI.jpg,https://igx.4sqi.net/img/general/600x600/63528693_PujMXrExK5CfVK8un-EO7QZyCrCqB9cKoe_rIkC_aDA.jpg,https://igx.4sqi.net/img/general/600x600/314645_lnSoS4zLQsLu6ivNiJEKEuPMj7crUUVXSX5cHzhmrjA.jpg,https://igx.4sqi.net/img/general/600x600/50636812_QSpoq6F54htr3ZJeoQQPMTrlQdDikSDcHIBRGIUGpzw.jpg,https://igx.4sqi.net/img/general/600x600/314645_f7_BXo2mXvHvXPqBOp77FFjj5PIlseXBs5Xs_jg9KwU.jpg,https://igx.4sqi.net/img/general/600x600/4470209_6c37mwZ1jWP82eIVFjZCyf-cX4WjguQ2mSu-79b0Aug.jpg,https://igx.4sqi.net/img/general/600x600/393840154_37f0n9Gfyqvburz1l4S3v_DKPSMZq9K3R5QGtmWTR7g.jpg,https://igx.4sqi.net/img/general/600x600/138252_HxuOtoylMbPmRmBxdFvVQ-PpkHnPOSxeHM3AvSVY1rM.jpg,https://igx.4sqi.net/img/general/600x600/3599630_-WaZyLc_VQpizj2dcafhUyRsb0mnNTVtgPW-LW8OHbA.jpg,https://igx.4sqi.net/img/general/600x600/lP4r3sIUVCMoPXx7GC5If6PIzBIicGKK0EkO-KnQhIE.jpg,https://igx.4sqi.net/img/general/600x600/7hEsmlQm2EpvH7Nxje9dxNk2Bs5-KfFG2AAioynrMIQ.jpg,https://igx.4sqi.net/img/general/600x600/1fT-KJoge6NbTQbWzb74DL4T21-sbG-3RKZHkv7STbQ.jpg,https://igx.4sqi.net/img/general/600x600/73043330_IkC6QQaPzz9s8hcUt0QmYEotGmSugaWqDt9DoWPVqdA.jpg,https://igx.4sqi.net/img/general/600x600/44742586_82F-N5vSw0o8mzOVwXSgT0BBHneUQW6uicohAKV67s8.jpg,https://igx.4sqi.net/img/general/600x600/1573360_RtYW7LvbmlSUy8FKmzU_wLRN4usMAR-1RZrBP_kBg7M.jpg,https://igx.4sqi.net/img/general/600x600/5268264_Kh_Q0JLQu4-xrmsBOAsUxtq8QnHyFiP-A0nm2zclRlQ.jpg,https://igx.4sqi.net/img/general/600x600/16571623_pfeQvOS_0_l52_eTjuB9Ybwrpnszj58Wb_fJs5L16LY.jpg",,us/ca/albany/1045sanpabloave/-1106202297,,37.885131,-122.297013,http://www.singlepage.com/ruen-pair-authentic-thai-cuisine,13.95,3.75,,USD,2016-04-22T02:48:00.000Z,"Squash, carrots, butternut squash and potato",Baked Kabocha,https://foursquare.com/v/potala-organic-cafe/4edecb798b81340ef052b591/menu,Potala Organic Cafe,,(510) 528-2375,94706,,,,CA,,"https://foursquare.com/v/potala-organic-cafe/4edecb798b81340ef052b591/menu,https://www.trip.com/albany-ca/restaurants/potala-organic-cafe,https://foursquare.com/v/potala-organic-cafe/4edecb798b81340ef052b591/photos,https://foursquare.com/v/potala-organic-cafe/4edecb798b81340ef052b591",,"http://www.potala.us/,http://potala.us",
AVwddQkGkufWRAb56GvX,2016-03-24T10:25:20Z,2018-09-04T13:02:10Z,16411 Bernardo Center Dr,"Indian Restaurant,Restaurant,Caterers,Food Dining,Catering,Vegetarian Restaurants,Restaurants,Indian Restaurants,Food & Dining,Middle Eastern Restaurants",Accommodation & Food Services,San Diego,,US,"Vegetarian,Indian",,,,,,,,,,"https://irs3.4sqi.net/img/general/200x200/20998175_d6VSoHYe5mRxjO1FjfN-eoHiZmZNvXRVH2SA7mtk_xE.jpg,https://irs1.4sqi.net/img/general/200x200/69758171_3VP_3YKKiufVP25OZhq9-BOGN5ui8_hq3uuiX6yTBgU.jpg,https://irs3.4sqi.net/img/general/200x200/69758171_fM7UhQ13aGtZFazPRkZCM0e-DGHBtXSfJAAdGexV658.jpg,https://irs2.4sqi.net/img/general/200x200/69758171__A4y1s7mjprDVzjO1wsYlq5YGlKrR5waz3v_ew0HQzY.jpg,https://irs3.4sqi.net/img/general/200x200/AdRrk_vNIF2qxL3exUgPjHtHyv1PmKlNyrPU3o_pghg.jpg,https://irs3.4sqi.net/img/general/200x200/11497103_zX8L3u1tB9d6SGZGT11AXk1gY823dO46JnS-v0-lZF8.jpg,https://irs2.4sqi.net/img/general/200x200/1193897_PJsHpbaPRZRzh-muK-sHyZm6-BhU5HoakcB8FAnYEuk.jpg,https://irs0.4sqi.net/img/general/200x200/7602700_jWqXVmO-2Txo8QdDCG2iieAUMbO-OUkGSCAFITlWxCo.jpg,https://irs1.4sqi.net/img/general/200x200/47618583_bckdOFptJBU5O7RZXHAVtOIB8V2XItrmFDU99SuTg_4.jpg,https://irs3.4sqi.net/img/general/200x200/60890101_E_cwXWFfRqrVh87OsdI8WMi7yGCW6bGzP2TOOUZl3q4.jpg",,us/ca/sandiego/16411bernardocenterdr/1998744718,,33.012662,-117.07859,http://www.citysearch.com/profile/menu/490729?singlePlatformId=passage-to-india-5,2.49,2.49,Side Orders,USD,"2018-04-08T08:28:33.338Z,2018-07-01T12:12:35.480Z,2018-05-04T19:18:29.038Z",,Mixed Pickles,https://www.allmenus.com/ca/san-diego/29208-passage-to-india/menu/,Passage To India,"American Express,VISA",(858) 674-7500,92128,USD,25,40,CA,,"http://www.superpages.com/bp/san-diego-ca/passage-to-india-L0019198928.htm,https://www.superpages.com/bp/san-diego-ca/passage-to-india-L0019198928.htm,https://foursquare.com/v/passage-to-india/4b207ab1f964a5209a3224e3/menu,http://www.citysearch.com/profile/490729/san_diego_ca/passage_to_india.html,https://foursquare.com/v/passage-to-india/4b207ab1f964a5209a3224e3,https://www.allmenus.com/ca/san-diego/29208-passage-to-india/menu/",,http://passagetoindiasd.com,
AVzHCLzmLD2H7whiWY6R,2017-06-20T19:44:17Z,2018-09-02T10:36:59Z,2265 Broadway,"Restaurant,Juice Bars,Smoothies and Juices,Vegetarian,Beverages Retail,Beverages,Healthy",Accommodation & Food Services,New York,,US,"Smoothies and Juices,Vegetarian,Healthy",,,,,,,,,,,,us/ny/newyork/2265broadway/-507758440,,40.785469,-73.979105,http://www.menupages.com/restaurants/greenforce-juice/menu,12,12,,USD,"2018-01-22T11:21:04.419Z,2017-12-31T10:06:24.493Z,2018-01-23T10:17:20.202Z,2018-01-18T10:52:26.493Z,2017-10-04T22:55:26.487Z,2018-05-01T12:16:14.632Z,2017-12-25T10:04:27.578Z,2018-04-23T14:46:05.068Z,2018-01-15T10:41:24.054Z,2018-01-04T09:49:30.228Z,2017-12-30T10:05:10.609Z,2017-11-16T10:37:11.194Z,2017-12-15T10:44:59.126Z,2017-11-19T10:16:05.207Z,2018-01-05T09:18:06.523Z,2018-07-12T19:22:39.965Z,2018-04-17T13:42:51.186Z,2017-12-12T09:52:21.318Z,2017-12-23T10:40:37.709Z,2017-12-06T10:13:34.295Z,2017-11-24T08:53:59.128Z,2018-04-24T14:45:07.281Z,2017-12-05T10:04:01.556Z,2018-04-19T13:57:11.567Z,2017-11-22T10:52:45.746Z,2018-01-19T10:33:05.705Z,2017-11-29T10:57:19.247Z,2017-12-09T10:50:52.161Z,2017-11-23T10:45:21.931Z,2017-12-14T10:15:27.796Z,2018-01-02T09:32:44.350Z,2018-01-09T10:33:19.583Z,2017-11-20T10:07:28.524Z,2018-07-15T11:38:00.871Z,2018-01-08T10:03:41.839Z,2018-07-12T10:44:13.213Z,2018-01-21T11:07:51.261Z,2018-01-14T10:49:08.823Z,2018-04-21T16:32:22.272Z,2017-12-27T09:55:11.665Z,2018-04-16T13:00:40.589Z,2018-04-20T13:52:16.784Z,2017-11-17T11:16:22.754Z,2017-12-22T10:17:20.874Z,2018-01-06T10:13:30.632Z,2017-12-08T10:42:32.477Z,2017-11-25T09:53:45.678Z,2018-01-03T09:34:02.396Z,2017-12-10T10:34:25.985Z,2017-11-18T11:17:35.042Z,2018-07-16T20:56:16.209Z,2018-06-20T13:13:45.292Z,2017-12-26T09:57:40.903Z,2017-12-01T11:44:58.234Z,2017-12-13T09:52:35.586Z,2018-06-15T11:46:32.681Z,2017-12-18T09:16:56.989Z,2017-12-29T09:40:12.103Z,2018-07-11T16:25:09.017Z,2017-10-19T02:47:07.176Z,2017-12-17T09:18:46.546Z,2018-04-27T13:01:49.928Z,2017-11-21T10:42:22.251Z,2018-01-25T11:04:50.116Z,2017-12-07T10:49:59.740Z,2018-01-07T09:56:11.631Z,2017-11-28T10:48:18.650Z,2018-07-17T07:04:18.724Z,2017-12-11T10:01:44.423Z,2018-01-24T10:36:42.111Z,2017-12-28T09:49:17.252Z,2018-05-11T16:02:51.206Z,2018-07-13T13:54:38.468Z,2017-12-04T10:16:13.780Z,2018-03-15T11:34:53.288Z,2018-05-10T14:35:05.708Z,2018-07-12T01:56:24.255Z,2017-12-19T10:14:17.104Z,2017-12-03T09:53:22.048Z,2018-01-01T09:35:06.626Z,2017-12-16T11:12:12.292Z,2018-03-08T13:23:13.557Z,2017-12-24T10:23:07.739Z,2018-06-01T17:02:12.637Z",,Greenforce Juice,http://www.menupages.com/restaurants/greenforce-juice/menu,Green Force Juice,,(212) 877-0077,10024,,,,NY,,"https://www.allmenus.com/ny/new-york/476309-greenforce-juice/menu/,https://www.superpages.com/bp/new-york-ny/green-force-juice-L2500439887.htm,http://www.menupages.com/restaurants/greenforce-juice/menu,http://www.menupages.com/restaurants/greenforce-juice/,https://www.dexknows.com/business_profiles/green_force_juice-l2500439887",,"http://www.greenforcejuice.com,http://greenforcejuice.com",
AVweaMjhByjofQCxx7-_,2016-05-07T01:38:40Z,2018-08-26T17:07:43Z,102 8th Ave,"Restaurant,Coffee Shops,Beverages Wholesale & Manufacturers,Local/Organic,Vegan Restaurants,Smoothies and Juices,Vegetarian / Vegan Restaurant,Vegetarian,Juice Bar,Vegetarian Restaurants,Healthy,Restaurants","Wholesale Trade,Accommodation & Food Services,Manufacturing",New York,foursquare.com,US,"Local/Organic,Vegan Restaurants,Smoothies and Juices,Vegetarian,Healthy",,,,,,,,,,"http://i2.ypcdn.com/blob/077b38d95103a7a69314f01aab0801fde8bc1cb0_74x74_crop.jpg,http://i2.ypcdn.com/blob/077b38d95103a7a69314f01aab0801fde8bc1cb0_70x70_crop.jpg",,us/ny/newyork/1028thave/-1603648047,,40.74056,-74.00171,http://www.menupages.com/restaurants/liquiteria-2/menu,4.95,4.95,Side Salads,USD,"2018-02-02T06:36:52.194Z,2018-05-28T15:24:32.545Z,2018-04-27T11:03:40.515Z,2018-05-08T02:39:17.347Z",Grains with curry spices over a bed of romaine lettuce,Curry Grain Side Salad,https://www.allmenus.com/ny/new-york/361016-liquiteria/menu/,Liquiteria,,(212) 929-0002,10011,USD,0,25,NY,,"https://www.allmenus.com/ny/new-york/361016-liquiteria/menu/,https://www.superpages.com/bp/new-york-ny/liquiteria-L2487613032.htm,http://www.menupages.com/restaurants/liquiteria-2/,http://www.menupages.com/restaurants/liquiteria-2/menu,https://foursquare.com/v/liquiteria/51c118bf454a9544b82d60cf,http://www.yellowpages.com/new-york-ny/mip/liquiteria-480731271",,"http://liquiteria.com,http://www.liquiteria.com",
AVwegg55ByjofQCxy31X,2016-03-02T09:54:26Z,2018-07-20T18:13:49Z,2019 Post Oak Blvd,"Italian Restaurant,Restaurant,Take Out,Italian,Deli & Sandwich,Vegetarian,Seafood,Government Contractors,Italian Foods,Italian Restaurant Uptown-Galleria,Family Restaurants,Restaurants",Accommodation & Food Services,Houston,,US,"Seafood,Italian,Vegetarian,Deli and Sandwich",,,,,,,,,,"https://cdn4.gbot.me/photos/Ma/W8/1420747657/-Maggiano_s_Little_Italy-20000000008715447-500x375.jpg,https://cdn4.gbot.me/photos/bb/va/1420747658/-Maggiano_s_Little_Italy-20000000008715451-500x375.jpg,https://cdn3.gbot.me/photos/Hb/FR/1420747658/-Maggiano_s_Little_Italy-20000000008715450-500x375.jpg,https://cdn1.gbot.me/photos/bD/M0/1420747657/-Maggiano_s_Little_Italy-20000000008715448-500x375.jpg,https://cdn2.gbot.me/photos/PX/u8/1420747657/-Maggiano_s_Little_Italy-20000000008715449-375x500.jpg",,us/tx/houston/2019postoakblvd/-578789913,,29.744809,-95.460856,http://www.singlepage.com/maggianos-little-italy-27,9.5,9.5,,USD,2017-10-23T15:10:26.984Z,,"Hogue Cellars, Washington",https://foursquare.com/v/maggianos-little-italy/4be4c0827e2a76b0cab91c9b/menu,Maggiano's Little Italy,,(713) 961-2700,77056,USD,25,40,TX,,"https://foursquare.com/v/maggianos-little-italy/4be4c0827e2a76b0cab91c9b/menu,https://www.superpages.com/bp/houston-tx/maggianos-little-italy-L2074987172.htm,https://www.allmenus.com/tx/houston/229240-maggianos-little-italy/menu/,https://www.trip.com/houston/restaurants/maggianos-little-italy,https://foursquare.com/v/maggianos-little-italy/4be4c0827e2a76b0cab91c9b",maggianos,"http://www.maggianos.com/locations/,http://www.maggianos.com/?utm_source=superpages&utm_medium=organic&utm_campaign=localmaps,http://maggianos.com/locations/",2015
AV8wUPgP3-Khe5l_YOz7,2017-10-18T16:27:43Z,2018-07-20T03:08:59Z,1702 Avenue M,"Restaurant,Sushi,Kosher,Vegan",Accommodation & Food Services,Brooklyn,,US,"Sushi,Kosher,Vegan",,,,,,,,,,,,us/ny/brooklyn/1702avenuem/-1818323320,,40.61801,-73.95797,http://www.menupages.com/restaurants/frappe-n-wrap/menu,9.95,9.95,Omelettes,USD,"2018-05-02T12:53:41.031Z,2018-04-04T04:42:53.318Z,2018-02-16T15:10:53.395Z,2018-04-26T13:57:01.097Z,2018-04-17T02:01:24.323Z",Fresh farm eggs and low fat mozzarella cheese,Cheese Omelette,https://www.allmenus.com/ny/brooklyn/505614-frappe-n-wrap/menu/,Frappe 'n Wrap,,(347) 713-6819,11230,,,,NY,,"http://www.menupages.com/restaurants/frappe-n-wrap/menu,https://www.allmenus.com/ny/brooklyn/505614-frappe-n-wrap/menu/,http://www.menupages.com/restaurants/frappe-n-wrap/",,,
AV8wUqX7a4HuVbedF3Lh,2017-10-18T16:27:38Z,2018-07-19T21:07:37Z,395 Classon Ave,"Restaurant,Desserts,Bakery and Pastries,Vegan",Accommodation & Food Services,Brooklyn,,US,"Desserts,Bakery and Pastries,Vegan",,,,,,,,,,,,us/ny/brooklyn/395classonave/-2125303162,,40.687556,-73.959589,http://www.menupages.com/restaurants/clementine-bakery/menu,6,6,Small Bites,USD,"2018-05-15T17:43:15.878Z,2018-05-27T03:55:21.003Z",Call restaurant for today39s selection,Daily Biscuit and Gravy,https://www.allmenus.com/ny/brooklyn/318625-clementine-bakery/menu/,Clementine Bakery,,(718) 483-8788,11238,,,,NY,,"http://www.menupages.com/restaurants/clementine-bakery/,http://www.menupages.com/restaurants/clementine-bakery/menu,https://www.allmenus.com/ny/brooklyn/318625-clementine-bakery/menu/",,,
AVzA09pIFcQ3k02bBW2d,2017-06-19T14:48:48Z,2018-07-19T21:06:22Z,307 E 9th St,"American (New),Restaurant,Coffee Shop,Coffee and Tea,Coffeehouses,Coffee Tea Shops,Restaurants",Accommodation & Food Services,New York,,US,"American (New),Vegetarian,Coffee and Tea,Health Food,Vegan",,,,,,,,,,"https://cdn2.gbot.me/photos/zj/ge/1361050831/-Postcard_of_Mud_Coffee-20000000005624849-375x500.jpg,https://cdn3.gbot.me/photos/09/WX/1413152763/-Postcard_of_Mudspot-20000000008339910-375x500.jpg,https://cdn2.gbot.me/photos/Vs/ef/1441292551/-Postcard_of_Mud_Coffee-20000000009195157-375x500.jpg",,us/ny/newyork/307e9thst/1399153342,,40.729012,-73.986771,http://www.menupages.com/restaurants/the-mudspot/menu,4.5,4.5,,USD,"2017-12-12T09:30:41.668Z,2018-07-10T02:56:52.718Z,2017-12-30T09:41:51.335Z,2017-12-27T09:36:33.060Z,2017-12-17T08:56:49.767Z,2018-07-16T10:32:56.066Z,2017-12-14T09:52:21.804Z,2018-01-24T10:06:59.803Z,2017-12-31T09:39:00.345Z,2018-01-07T09:35:51.078Z,2017-12-05T09:43:48.217Z,2018-07-14T06:54:46.575Z,2017-12-08T10:19:14.392Z,2017-12-03T09:24:22.326Z,2017-12-18T08:51:45.400Z,2018-03-30T11:53:10.401Z,2017-11-22T10:14:15.796Z,2018-07-13T21:33:02.176Z,2017-12-07T10:17:29.218Z,2018-07-15T10:10:42.155Z,2017-12-11T09:40:11.136Z,2017-11-21T10:05:52.666Z,2017-11-30T10:59:21.724Z,2018-04-23T13:35:33.677Z,2017-10-19T14:30:14.613Z,2017-12-23T10:12:11.074Z,2017-12-04T09:37:31.056Z,2018-01-08T09:39:41.758Z,2017-12-16T10:42:21.896Z,2017-12-24T09:55:29.767Z,2017-11-24T09:10:14.415Z,2017-10-04T22:56:32.286Z,2018-07-12T18:10:08.603Z,2017-11-25T09:24:48.844Z,2018-04-10T11:43:28.060Z,2018-07-16T02:53:32.663Z,2017-11-18T10:40:17.933Z,2017-12-22T09:53:06.110Z,2017-11-27T09:45:02.874Z,2018-01-04T09:29:49.546Z,2017-11-23T10:11:44.473Z,2018-05-09T14:09:30.902Z,2018-01-02T09:16:17.798Z,2018-05-19T12:43:10.811Z,2017-12-29T09:20:03.960Z,2018-01-01T09:18:20.458Z,2017-12-01T11:33:32.632Z,2018-04-26T12:41:49.502Z,2018-07-13T13:04:39.474Z,2017-12-19T09:49:29.202Z,2017-12-09T10:14:51.234Z,2017-12-25T09:41:38.229Z,2018-01-06T09:47:00.354Z,2017-12-10T10:05:03.241Z,2018-01-03T09:17:10.828Z,2017-11-19T09:39:04.241Z,2018-07-12T09:30:13.371Z,2018-01-05T08:59:33.090Z,2017-11-29T10:23:24.878Z,2018-07-15T01:02:04.737Z,2018-05-20T12:42:06.213Z,2017-10-22T05:50:30.600Z,2017-12-15T10:10:52.415Z,2017-12-26T09:32:44.342Z,2017-12-21T17:04:01.512Z,2017-11-26T10:15:16.501Z,2018-07-11T15:04:26.568Z",,Cappuccino,http://www.menupages.com/restaurants/the-mudspot/menu,Mudspot,Cash,(212) 228-9074,10003,USD,0,25,NY,,"http://www.menupages.com/restaurants/the-mudspot/menu,https://foursquare.com/v/mudspot/3fd66200f964a520c4f11ee3/menu,http://www.menupages.com/restaurants/the-mudspot/,https://www.trip.com/new-york-city/restaurants/mudspot,https://foursquare.com/v/mudspot/3fd66200f964a520c4f11ee3,https://www.allmenus.com/ny/new-york/353827-mudspot/menu/,http://www.citysearch.com/profile/39242396/new_york_ny/mudspot_inc.html",,"http://www.mudnyc.com,https://www.mudnyc.com/pages/mudspot,http://mudnyc.com/shop.html",
AVzA1eii-gnIPe8DScqD,2017-06-19T14:51:03Z,2018-07-19T21:06:11Z,338 E 11th St,"Restaurant,Gluten-free Restaurant,Vegetarian,Coffee and Tea,Bakery,Desserts,Cupcake Shop,Bakery and Pastries,Vegan",Accommodation & Food Services,New York,foursquare.com,US,"Vegetarian,Coffee and Tea,Bakery,Desserts,Bakery and Pastries,Vegan",,,,,,,,,,https://cdn4.gbot.me/photos/Qb/wR/1491971723/Perfect_Vanilla_Cupcakes_-Tu_Lu_s_Gluten_Free_Baker-20000000009699635-500x375.jpg,,us/ny/newyork/338e11thst/1202150626,,40.729436,-73.984727,http://www.menupages.com/restaurants/tulus-gluten-free-bakery/menu,78,78,Regular GlutenFree,USD,"2018-02-05T10:32:08.494Z,2018-04-27T11:14:19.145Z,2018-05-07T19:50:01.208Z",,10ampquot 2Layer Cake,https://www.allmenus.com/ny/new-york/359935-tu-lus-gluten-free-bakery/menu/,Tu-Lu's Gluten-Free Bakery,,(212) 777-2227,10003,USD,25,40,NY,,"https://foursquare.com/v/tulus-gluten-free-bakery/4b699ee5f964a520f7a92be3/menu,https://foursquare.com/v/tulus-gluten-free-bakery/4b699ee5f964a520f7a92be3,http://www.menupages.com/restaurants/tulus-gluten-free-bakery/,http://www.menupages.com/restaurants/tulus-gluten-free-bakery/menu,https://www.trip.com/new-york-city/restaurants/tu-lus-gluten-free-bakery,https://www.allmenus.com/ny/new-york/359935-tu-lus-gluten-free-bakery/menu/",,"http://tu-lusbakery.com,http://www.tu-lusbakery.com/",
AVwcq1-ZIN2L1WUfnk0I,2016-03-26T04:35:28Z,2018-07-19T21:05:20Z,264 Carlton Ave,"Restaurant,Local/Organic,Coffee Shop,Cafe,Vegetarian,Coffee and Tea,Caf,Healthy,Vegan,Australian Restaurant,Café",Accommodation & Food Services,Brooklyn,,US,"Local/Organic,Vegetarian,Coffee and Tea,Healthy,Vegan",,,,,,,,,,,,us/ny/brooklyn/264carltonave/-2022767172,,40.689791,-73.972179,http://www.menupages.com/restaurants/smooch-cafe/menu,14,14,85,USD,"2018-05-04T05:08:19.369Z,2018-05-30T17:09:46.045Z,2018-05-10T02:17:13.447Z,2018-05-14T16:09:09.964Z,2018-04-10T23:37:27.848Z,2018-05-20T09:52:34.260Z",scrambled eggs or tofuampcomma homefriesampcomma saladampcomma toastampcomma orange juiceampcomma coffee or tea,The Awesomest Brunch,https://www.allmenus.com/ny/brooklyn/274139-smooch-cafe/menu/,Smooch Cafe,American Express,(718) 624-4075,11205,,,,NY,,"http://www.menupages.com/restaurants/smooch-cafe/,https://www.allmenus.com/ny/brooklyn/274139-smooch-cafe/menu/,http://www.menupages.com/restaurants/smooch-cafe/menu,https://foursquare.com/v/smooch-cafe/44968ba6f964a5208d341fe3,https://foursquare.com/v/smooch-cafe/44968ba6f964a5208d341fe3/menu",,http://www.smoochorganic.com,
